category,folder_name,movie_name,year,relative_path,parse_status,note
原盘压缩（外语）,疯狂的麦克斯.1979.2160p.UHD.BluRay.x265.10bit.DV.DTS-HD.MA.5.1-SONYHD,疯狂的麦克斯,1979,原盘压缩（外语）/疯狂的麦克斯.1979.2160p.UHD.BluRay.x265.10bit.DV.DTS-HD.MA.5.1-SONYHD,OK,
原盘压缩（外语）,疯狂的麦克斯.狂暴女神.2024..UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD.7.1.mUHD-FRDS,疯狂的麦克斯 狂暴女神,2024,原盘压缩（外语）/疯狂的麦克斯.狂暴女神.2024..UHD.BluRay.2160p.x265.10bit.DV.HDR.TrueHD.7.1.mUHD-FRDS,OK,
原盘压缩（外语）,疯狂的麦克斯4.狂暴之路.2015.2160p.Blu-ray.x265.10bit.TrueHD￡cXcY@FRDS,疯狂的麦克斯4 狂暴之路,2015,原盘压缩（外语）/疯狂的麦克斯4.狂暴之路.2015.2160p.Blu-ray.x265.10bit.TrueHD￡cXcY@FRDS,OK,
原盘压缩（外语）,疾速追杀.2014.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-DEPTH,疾速追杀,2014,原盘压缩（外语）/疾速追杀.2014.2160p.UHD.BluRay.x265.10bit.HDR.TrueHD.7.1.Atmos-DEPTH,OK,
原盘压缩（外语）,疾速追杀2.2017.2160p.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,疾速追杀2,2017,原盘压缩（外语）/疾速追杀2.2017.2160p.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
原盘压缩（外语）,疾速追杀3.2019.2160p.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,疾速追杀3,2019,原盘压缩（外语）/疾速追杀3.2019.2160p.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
原盘压缩（外语）,白头神探.1988.1080p.BluRay.X264-AMIABLE,白头神探,1988,原盘压缩（外语）/白头神探.1988.1080p.BluRay.X264-AMIABLE,OK,
原盘压缩（外语）,白头神探2½.恐怖的气味.1991.1080p.BluRay.x264-HD4U,白头神探2½ 恐怖的气味,1991,原盘压缩（外语）/白头神探2½.恐怖的气味.1991.1080p.BluRay.x264-HD4U,OK,
原盘压缩（外语）,白头神探3.最后的侮辱.1994.1080p.BluRay.x264-HD4U,白头神探3 最后的侮辱,1994,原盘压缩（外语）/白头神探3.最后的侮辱.1994.1080p.BluRay.x264-HD4U,OK,
原盘压缩（外语）,盗梦空间.2010.2160p.BluRay.x265.10bit.DTS-WiKi,盗梦空间,2010,原盘压缩（外语）/盗梦空间.2010.2160p.BluRay.x265.10bit.DTS-WiKi,OK,
原盘压缩（外语）,盟军敢死队.2024.UHD.BluRay.2160p.x265.10bit.HDR.Atmos.TrueHD7.1.mUHD-FRDS,盟军敢死队,2024,原盘压缩（外语）/盟军敢死队.2024.UHD.BluRay.2160p.x265.10bit.HDR.Atmos.TrueHD7.1.mUHD-FRDS,OK,
原盘压缩（外语）,盲视.2014.UK.Bluray.1080p.DTS-HD.x264-Grym,盲视,2014,原盘压缩（外语）/盲视.2014.UK.Bluray.1080p.DTS-HD.x264-Grym,OK,
原盘压缩（外语）,看不见的客人.2016.1080p.BluRay.x264-USURY[rarbg],看不见的客人,2016,原盘压缩（外语）/看不见的客人.2016.1080p.BluRay.x264-USURY[rarbg],OK,
原盘压缩（外语）,真实.2017.1080p.BluRay.x264-WiKi,真实,2017,原盘压缩（外语）/真实.2017.1080p.BluRay.x264-WiKi,OK,
原盘压缩（外语）,真爱至上.2003.10th.Anniversary.Edition.1080p.BluRay.DTS.x264-PublicHD,真爱至上,2003,原盘压缩（外语）/真爱至上.2003.10th.Anniversary.Edition.1080p.BluRay.DTS.x264-PublicHD,OK,
原盘压缩（外语）,瞬息全宇宙.2022.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,瞬息全宇宙,2022,原盘压缩（外语）/瞬息全宇宙.2022.2160p.UHD.BluRay.x265.10bit.HDR.DTS-HD.MA.TrueHD.7.1.Atmos-SWTYBLZ,OK,
